Search Link,Date collected,company_name,city,company_address,company_category
http://www.yellowpages.com/new-york-ny/mip/pig-whistle-pub-restaurant-3605566,2020-06-14,Pig & Whistle Pub Restaurant,New York,"165 W 47th St, New York, NY 10036",Family Style Restaurants
http://www.yellowpages.com/new-york-ny/mip/indian-taj-10972456,2020-06-14,Indian Taj,New York,"181 Bleecker St, New York, NY 10012",Indian Restaurants
http://www.yellowpages.com/new-york-ny/mip/hillstone-471040582,2020-06-14,Hillstone,New York,"378 Park Ave S, New York, NY 10010",Sushi Bars
http://www.yellowpages.com/new-york-ny/mip/aki-sushi-west-454817992,2020-06-14,Aki Sushi West,New York,"128 W 36th St, New York, NY 10018",Japanese Restaurants
http://www.yellowpages.com/new-york-ny/mip/meson-sevilla-3421723,2020-06-14,Meson Sevilla,New York,"344 W 46th St, New York, NY 10036",Spanish Restaurants
http://www.yellowpages.com/new-york-ny/mip/moonstruck-east-restaurant-1420424?geo_location_terms=&lid=1420424&search_terms=,2020-06-14,Moonstruck East Restaurant,New York,"449 3rd Ave, New York, NY 10016",American Restaurants
http://www.yellowpages.com/new-york-ny/mip/wildwood-barbeque-22248642?geo_location_terms=&lid=22248642&search_terms=,2020-06-14,Wildwood Barbeque,New York,"225 Park Ave S, New York, NY 10003",Barbecue Restaurants
http://www.yellowpages.com/new-york-ny/mip/roccos-pizza-joint-6749512?geo_location_terms=&lid=6749512&search_terms=,2020-06-14,Rocco's Pizza Joint,New York,"162 7th Ave, New York, NY 10011",Pizza
http://www.yellowpages.com/new-york-ny/mip/todaro-brothers-5642814?geo_location_terms=&lid=1001105931107&search_terms=,2020-06-14,Todaro Brothers,New York,"555 2nd Ave, New York, NY 10016",Italian Restaurants
http://www.yellowpages.com/new-york-ny/mip/casa-mono-462462383?geo_location_terms=&lid=462462383&search_terms=,2020-06-14,Casa Mono,New York,"52 Irving Pl, New York, NY 10003",Spanish Restaurants
http://www.yellowpages.com/new-york-ny/mip/da-marino-2217768?geo_location_terms=&lid=2217768&search_terms=,2020-06-14,Da Marino,New York,"220 W 49th St, New York, NY 10019",Italian Restaurants
http://www.yellowpages.com/new-york-ny/mip/thalassa-restaurant-3750904?geo_location_terms=&lid=3750904&search_terms=,2020-06-14,Thalassa Restaurant,New York,"179 Franklin St, New York, NY 10013",Mediterranean Restaurants
http://www.yellowpages.com/new-york-ny/mip/tonys-di-napoli-9343107?geo_location_terms=&lid=9343107&search_terms=,2020-06-14,Tony's Di Napoli,New York,"147 W 43rd St, New York, NY 10036",Continental Restaurants
http://www.yellowpages.com/new-york-ny/mip/pepolino-5259900?geo_location_terms=&lid=5259900&search_terms=,2020-06-14,Pepolino,New York,"281 W Broadway, New York, NY 10013",Italian Restaurants
http://www.yellowpages.com/new-york-ny/mip/cafe-orlin-3053366?geo_location_terms=&lid=3053366&search_terms=,2020-06-14,Cafe Orlin,New York,"41 Saint Marks Pl, New York, NY 10003",Middle Eastern Restaurants
http://www.yellowpages.com/new-york-ny/mip/dave-busters-8889637?geo_location_terms=&lid=8889637&search_terms=,2020-06-14,Dave & Buster's,New York,"234 W 42nd St, New York, NY 10036",American Restaurants
http://www.yellowpages.com/new-york-ny/mip/elmo-5192471?geo_location_terms=&lid=5192471&search_terms=,2020-06-14,Elmo,New York,"156 7th Ave, New York, NY 10011",American Restaurants
http://www.yellowpages.com/new-york-ny/mip/cipriani-club-55-2245505?geo_location_terms=&lid=2245505&search_terms=,2020-06-14,Cipriani Club 55,New York,"55 Wall St, New York, NY 10005",Italian Restaurants
http://www.yellowpages.com/new-york-ny/mip/vitae-469259968?geo_location_terms=&lid=469259968&search_terms=,2020-06-14,Vitae,New York,"4 E 46th St Frnt 1, New York, NY 10017",American Restaurants
http://www.yellowpages.com/new-york-ny/mip/piatto-4583810,2020-06-14,Piatto,New York,"347 E 109th St, New York, NY 10029",Italian Restaurants
